user speed delay
1 1 447
1 1 780
1 1 531
1 1 830
1 1 499
1 1 398
1 1 359
1 1 387
1 1 687
1 1 470
1 1 243
1 1 112
1 1 808
1 1 640
1 1 571
1 1 570
1 1 507
1 2 1219
1 2 588
1 2 1400
1 2 359
1 2 294
1 2 477
1 2 367
1 2 917
1 2 583
1 2 418
1 2 1187
1 2 1237
1 2 2087
1 2 430
1 2 1153
1 2 295
1 2 696
1 2 1585
1 3 1436
1 3 815
1 3 1435
1 3 775
1 3 405
1 3 1020
1 3 863
1 3 520
1 3 1072
1 3 849
1 3 1500
1 3 635
1 3 1190
1 3 1838
1 3 699
1 3 778
1 3 724
1 3 748
1 4 1867
1 4 1086
1 4 1593
1 4 2172
1 4 933
1 4 1557
1 4 653
1 4 1173
1 4 594
1 4 957
1 4 1317
1 4 896
1 4 1432
1 4 2445
1 4 852
1 4 1368
1 4 731
1 4 1206
1 5 994
1 5 462
1 5 1020
1 5 1598
1 5 1090
1 5 1521
1 5 733
1 5 1175
1 5 1587
1 5 1828
1 5 593
1 5 1166
1 5 1724
1 5 987
1 5 2341
1 5 2804
1 5 455
1 5 901
1 6 1699
1 6 862
1 6 551
1 6 936
1 6 1608
1 6 669
1 6 2180
1 6 2593
1 6 2992
1 6 973
1 6 624
1 6 1998
1 6 1371
1 6 1775
1 6 700
1 6 1113
1 6 1499
1 6 1925
1 7 1419
1 7 1882
1 7 2293
1 7 1086
1 7 1485
1 7 1857
1 7 2263
1 7 1138
1 7 1540
1 7 974
1 7 1520
1 7 986
1 7 1392
1 7 848
1 7 1213
1 7 2036
1 7 1186
1 7 1551
1 8 956
1 8 1450
1 8 781
1 8 1237
1 8 1682
1 8 668
1 8 1035
1 8 1381
1 8 754
1 8 1813
1 8 994
1 8 1375
1 8 553
1 8 925
1 8 1279
1 8 2105
1 8 2462
1 8 3067
1 9 1798
1 9 1287
1 9 1615
1 9 1955
1 9 2506
1 9 913
1 9 1263
1 9 1590
1 9 1933
1 9 1776
1 9 840
1 9 1160
1 9 1481
1 9 1821
1 9 2228
1 9 1089
1 9 1410
1 9 3023
1 10 1803
1 10 1505
1 10 2270
1 10 609
1 10 992
1 10 1333
1 10 1670
1 10 2010
1 10 2330
1 10 1845
1 10 1338
1 10 1707
1 10 549
1 10 904
1 10 1244
1 10 1588
1 10 1924
1 10 2678
2 1 349
2 1 1194
2 1 834
2 1 902
2 1 539
2 1 1542
2 1 746
2 1 986
2 1 128
2 1 878
2 1 529
2 1 1914
2 1 1831
2 1 721
2 1 1615
2 1 1333
2 1 1066
2 1 1260
2 1 976
2 1 1353
2 1 330
2 1 694
2 1 602
2 1 209
2 1 1585
2 1 1075
2 1 1318
2 1 1042
2 1 2337
2 1 702
2 1 409
2 1 514
2 1 928
2 1 534
2 1 2061
2 1 1857
2 1 610
2 1 1909
2 1 2731
2 1 2068
2 2 1423
2 2 970
2 2 2084
2 2 1375
2 2 515
2 2 1114
2 2 536
2 2 1815
2 2 2694
2 2 704
2 2 739
2 2 574
2 2 1176
2 2 1685
2 2 2016
2 2 2511
2 2 1898
2 2 2387
2 2 2559
2 4 2447
2 4 2836
2 4 2688
2 4 3105
2 4 4203
2 4 2801
2 4 2248
2 4 3125
2 4 2241
2 4 2424
2 4 2401
2 4 2803
2 4 2793
2 4 736
2 5 2869
2 5 2071
2 5 2595
2 5 3090
2 5 1728
2 5 2360
2 5 1838
2 5 2509
2 5 1040
2 5 1616
2 5 2439
2 5 2926
2 5 1423
2 5 2020
2 5 2529
2 5 3008
2 5 3555
2 5 2128
2 5 2636
2 5 3144
2 5 2805
2 5 1892
2 5 2396
2 5 2882
2 5 3356
2 5 1671
2 5 2139
2 5 2788
2 5 3254
2 5 4802
2 6 1496
2 6 2595
2 6 3030
2 6 2929
2 6 2982
2 6 2518
2 6 2357
2 6 2351
2 6 3152
2 6 3525
2 6 2446
2 6 2818
2 6 3078
2 6 2809
2 8 3452
2 8 2786
2 8 3539
2 8 2690
